Count,Year,Month,Logan Passengers,Avg Hotel Daily Rate,Unemployment Rate,Code
8,2016,1,2342969,178.59,0.041,111
4,2016,1,2342969,178.59,0.041,121
156,2016,1,2342969,178.59,0.041,301
30,2016,1,2342969,178.59,0.041,311
3,2016,1,2342969,178.59,0.041,339
6,2016,1,2342969,178.59,0.041,351
34,2016,1,2342969,178.59,0.041,361
4,2016,1,2342969,178.59,0.041,371
2,2016,1,2342969,178.59,0.041,402
2,2016,1,2342969,178.59,0.041,403
204,2016,1,2342969,178.59,0.041,413
146,2016,1,2342969,178.59,0.041,423
134,2016,1,2342969,178.59,0.041,520
50,2016,1,2342969,178.59,0.041,521
136,2016,1,2342969,178.59,0.041,522
3,2016,1,2342969,178.59,0.041,527
38,2016,1,2342969,178.59,0.041,540
8,2016,1,2342969,178.59,0.041,541
22,2016,1,2342969,178.59,0.041,542
2,2016,1,2342969,178.59,0.041,560
1,2016,1,2342969,178.59,0.041,561
4,2016,1,2342969,178.59,0.041,562
38,2016,1,2342969,178.59,0.041,611
16,2016,1,2342969,178.59,0.041,612
466,2016,1,2342969,178.59,0.041,613
454,2016,1,2342969,178.59,0.041,614
126,2016,1,2342969,178.59,0.041,615
36,2016,1,2342969,178.59,0.041,616
534,2016,1,2342969,178.59,0.041,617
272,2016,1,2342969,178.59,0.041,619
2,2016,1,2342969,178.59,0.041,627
1,2016,1,2342969,178.59,0.041,629
2,2016,1,2342969,178.59,0.041,670
14,2016,1,2342969,178.59,0.041,706
178,2016,1,2342969,178.59,0.041,724
14,2016,1,2342969,178.59,0.041,727
50,2016,1,2342969,178.59,0.041,735
66,2016,1,2342969,178.59,0.041,801
706,2016,1,2342969,178.59,0.041,802
2,2016,1,2342969,178.59,0.041,804
4,2016,1,2342969,178.59,0.041,900
66,2016,1,2342969,178.59,0.041,1001
202,2016,1,2342969,178.59,0.041,1102
105,2016,1,2342969,178.59,0.041,1106
60,2016,1,2342969,178.59,0.041,1107
7,2016,1,2342969,178.59,0.041,1109
18,2016,1,2342969,178.59,0.041,1201
30,2016,1,2342969,178.59,0.041,1300
18,2016,1,2342969,178.59,0.041,1304
774,2016,1,2342969,178.59,0.041,1402
38,2016,1,2342969,178.59,0.041,1415
48,2016,1,2342969,178.59,0.041,1501
2,2016,1,2342969,178.59,0.041,1502
36,2016,1,2342969,178.59,0.041,1503
2,2016,1,2342969,178.59,0.041,1504
5,2016,1,2342969,178.59,0.041,1510
2,2016,1,2342969,178.59,0.041,1601
12,2016,1,2342969,178.59,0.041,1602
6,2016,1,2342969,178.59,0.041,1605
2,2016,1,2342969,178.59,0.041,1805
74,2016,1,2342969,178.59,0.041,1810
4,2016,1,2342969,178.59,0.041,1815
1,2016,1,2342969,178.59,0.041,1825
25,2016,1,2342969,178.59,0.041,1830
7,2016,1,2342969,178.59,0.041,1831
18,2016,1,2342969,178.59,0.041,1832
78,2016,1,2342969,178.59,0.041,1841
64,2016,1,2342969,178.59,0.041,1842
90,2016,1,2342969,178.59,0.041,1843
10,2016,1,2342969,178.59,0.041,1844
42,2016,1,2342969,178.59,0.041,1845
13,2016,1,2342969,178.59,0.041,1846
2,2016,1,2342969,178.59,0.041,1847
44,2016,1,2342969,178.59,0.041,1848
96,2016,1,2342969,178.59,0.041,1849
3,2016,1,2342969,178.59,0.041,1850
8,2016,1,2342969,178.59,0.041,1870
90,2016,1,2342969,178.59,0.041,1874
12,2016,1,2342969,178.59,0.041,2003
14,2016,1,2342969,178.59,0.041,2005
14,2016,1,2342969,178.59,0.041,2006
34,2016,1,2342969,178.59,0.041,2007
24,2016,1,2342969,178.59,0.041,2101
4,2016,1,2342969,178.59,0.041,2102
10,2016,1,2342969,178.59,0.041,2204
12,2016,1,2342969,178.59,0.041,2401
46,2016,1,2342969,178.59,0.041,2403
70,2016,1,2342969,178.59,0.041,2405
10,2016,1,2342969,178.59,0.041,2407
24,2016,1,2342969,178.59,0.041,2604
144,2016,1,2342969,178.59,0.041,2610
2,2016,1,2342969,178.59,0.041,2611
3,2016,1,2342969,178.59,0.041,2612
4,2016,1,2342969,178.59,0.041,2613
14,2016,1,2342969,178.59,0.041,2616
12,2016,1,2342969,178.59,0.041,2619
4,2016,1,2342969,178.59,0.041,2623
4,2016,1,2342969,178.59,0.041,2628
76,2016,1,2342969,178.59,0.041,2629
28,2016,1,2342969,178.59,0.041,2632
2,2016,1,2342969,178.59,0.041,2642
22,2016,1,2342969,178.59,0.041,2646
426,2016,1,2342969,178.59,0.041,2647
10,2016,1,2342969,178.59,0.041,2648
10,2016,1,2342969,178.59,0.041,2657
56,2016,1,2342969,178.59,0.041,2660
42,2016,1,2342969,178.59,0.041,2662
4,2016,1,2342969,178.59,0.041,2663
12,2016,1,2342969,178.59,0.041,2670
98,2016,1,2342969,178.59,0.041,2900
106,2016,1,2342969,178.59,0.041,2905
30,2016,1,2342969,178.59,0.041,2906
144,2016,1,2342969,178.59,0.041,2907
11,2016,1,2342969,178.59,0.041,2914
31,2016,1,2342969,178.59,0.041,3001
24,2016,1,2342969,178.59,0.041,3002
2,2016,1,2342969,178.59,0.041,3004
848,2016,1,2342969,178.59,0.041,3006
74,2016,1,2342969,178.59,0.041,3007
20,2016,1,2342969,178.59,0.041,3008
82,2016,1,2342969,178.59,0.041,3018
11,2016,1,2342969,178.59,0.041,3102
22,2016,1,2342969,178.59,0.041,3106
96,2016,1,2342969,178.59,0.041,3108
234,2016,1,2342969,178.59,0.041,3109
6,2016,1,2342969,178.59,0.041,3110
66,2016,1,2342969,178.59,0.041,3111
54,2016,1,2342969,178.59,0.041,3112
400,2016,1,2342969,178.59,0.041,3114
866,2016,1,2342969,178.59,0.041,3115
2,2016,1,2342969,178.59,0.041,3116
40,2016,1,2342969,178.59,0.041,3119
2,2016,1,2342969,178.59,0.041,3122
396,2016,1,2342969,178.59,0.041,3125
68,2016,1,2342969,178.59,0.041,3130
24,2016,1,2342969,178.59,0.041,3160
14,2016,1,2342969,178.59,0.041,3170
392,2016,1,2342969,178.59,0.041,3201
16,2016,1,2342969,178.59,0.041,3202
20,2016,1,2342969,178.59,0.041,3205
164,2016,1,2342969,178.59,0.041,3207
26,2016,1,2342969,178.59,0.041,3208
670,2016,1,2342969,178.59,0.041,3301
22,2016,1,2342969,178.59,0.041,3304
10,2016,1,2342969,178.59,0.041,3305
2,2016,1,2342969,178.59,0.041,3402
428,2016,1,2342969,178.59,0.041,3410
252,2016,1,2342969,178.59,0.041,3501
308,2016,1,2342969,178.59,0.041,3502
54,2016,1,2342969,178.59,0.041,3503
12,2016,1,2342969,178.59,0.041,3620
18,2016,1,2342969,178.59,0.041,3625
25,2016,1,2342969,178.59,0.041,3801
149,2016,1,2342969,178.59,0.041,3802
93,2016,1,2342969,178.59,0.041,3803
24,2016,1,2342969,178.59,0.041,3805
22,2016,1,2342969,178.59,0.041,3807
9,2016,1,2342969,178.59,0.041,3810
4,2016,1,2342969,178.59,0.041,3811
51,2016,1,2342969,178.59,0.041,3820
7,2016,1,2342969,178.59,0.041,3821
40,2016,1,2342969,178.59,0.041,3830
414,2016,1,2342969,178.59,0.041,3831
6,2017,1,2603998,171.67,0.034,111
150,2017,1,2603998,171.67,0.034,301
80,2017,1,2603998,171.67,0.034,311
20,2017,1,2603998,171.67,0.034,351
46,2017,1,2603998,171.67,0.034,361
3,2017,1,2603998,171.67,0.034,371
6,2017,1,2603998,171.67,0.034,381
232,2017,1,2603998,171.67,0.034,413
140,2017,1,2603998,171.67,0.034,423
142,2017,1,2603998,171.67,0.034,520
22,2017,1,2603998,171.67,0.034,521
88,2017,1,2603998,171.67,0.034,522
58,2017,1,2603998,171.67,0.034,540
6,2017,1,2603998,171.67,0.034,541
12,2017,1,2603998,171.67,0.034,542
9,2017,1,2603998,171.67,0.034,560
4,2017,1,2603998,171.67,0.034,562
22,2017,1,2603998,171.67,0.034,611
8,2017,1,2603998,171.67,0.034,612
424,2017,1,2603998,171.67,0.034,613
452,2017,1,2603998,171.67,0.034,614
88,2017,1,2603998,171.67,0.034,615
50,2017,1,2603998,171.67,0.034,616
408,2017,1,2603998,171.67,0.034,617
